Ref,Question,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Type,
T10Q20,...blue light.' 'Blue' is an:,Adjective,Noun,Verb,Adverb,Preposition,Adjective,Word Type,text_10.txt
T11Q1,How many bees can be in a single colony?,"1,000","10,000","60,000","100,000","2,000","60,000",Retrieval,text_11.txt
T11Q2,What is the Queen's main job?,Gather nectar,Build cells,Lay eggs,Guard the hive,Make honey,Lay eggs,Retrieval,text_11.txt
T11Q3,Which bees have no stingers?,Queens,Workers,Drones,Larvae,All bees,Drones,Retrieval,text_11.txt
T11Q4,What shape are the wax cells?,Square,Circular,Triangular,Hexagonal,Octagonal,Hexagonal,Retrieval,text_11.txt
T11Q5,How much of our food depends on bees?,Half,One-third,All of it,None,10 percent,One-third,Retrieval,text_11.txt
T11Q6,Closest meaning to 'harmony'?,Noise,Agreement/Peace,Fighting,Confusion,Music,Agreement/Peace,Word Meaning,text_11.txt
T11Q7,Closest meaning to 'sole' in paragraph 2?,Shoe part,Only/Single,Fish,Hard,Quick,Only/Single,Word Meaning,text_11.txt
T11Q8,Closest meaning to 'forage'?,Sleep,Build,Search for food,Fight,Dance,Search for food,Word Meaning,text_11.txt
T11Q9,Closest meaning to 'vital'?,Unimportant,Essential/Important,Deadly,Small,Fast,Essential/Important,Word Meaning,text_11.txt
T11Q10,Closest meaning to 'declining'?,Going up,Staying same,Going down/Decreasing,Flying,Eating,Going down/Decreasing,Word Meaning,text_11.txt
T11Q11,Why is the hive called a 'super-organism'?,Bees are huge,They act as one single unit,They are aliens,They live in trees,They are strong,They act as one single unit,Inference,text_11.txt
T11Q12,Why do Drones not gather food?,They are lazy,They are too big,It is not their role,They have no wings,They eat honey,It is not their role,Inference,text_11.txt
T11Q13,What is the purpose of the 'waggle dance'?,Exercise,To keep warm,To communicate food location,To scare predators,To find a mate,To communicate food location,Inference,text_11.txt
T11Q14,Why are bee populations dropping?,Too much honey,Habitat loss/pesticides,Birds eating them,Too much rain,They are flying away,Habitat loss/pesticides,Inference,text_11.txt
T11Q15,The author believes saving bees is:,A waste of time,Only for honey lovers,Important for humans,Impossible,Easy,Important for humans,Inference,text_11.txt
T11Q16,...masterpiece of engineering.' 'Engineering' is a:,Verb,Adjective,Noun,Adverb,Pronoun,Noun,Word Type,text_11.txt
T11Q17,...perfect harmony.' 'Perfect' is an:,Noun,Verb,Adjective,Adverb,Preposition,Adjective,Word Type,text_11.txt
T11Q18,She returns to the hive.' 'She' is a:,Noun,Verb,Adjective,Pronoun,Adverb,Pronoun,Word Type,text_11.txt
T11Q19,...estimated that one-third.' 'Estimated' is a:,Noun,Verb,Adjective,Adverb,Conjunction,Verb,Word Type,text_11.txt
T11Q20,...own future.' 'Future' is a:,Noun,Verb,Adjective,Adverb,Preposition,Noun,Word Type,text_11.txt
T12Q1,What was the name of the village?,Grey Mountain,Ash-hold,Dragon's Peak,Eldoria,Fire-town,Ash-hold,Retrieval,text_12.txt
T12Q2,What did the villagers leave as an offering?,Gold,Grain and fish,Meat,Clothes,Water,Grain and fish,Retrieval,text_12.txt
T12Q3,Where did Jaren hide?,In a tree,In a cave,Behind a boulder,In a basket,Under a bridge,Behind a boulder,Retrieval,text_12.txt
T12Q4,What sound did Jaren hear?,A roar,Flapping wings,Clippety-clop of hooves,Hissing,Singing,Clippety-clop of hooves,Retrieval,text_12.txt
T12Q5,What animals were actually eating the food?,Wolves,Bears,Mountain goats,Birds,Dragons,Mountain goats,Retrieval,text_12.txt
T12Q6,Closest meaning to 'generations'?,Years,Families/Age groups over time,Old people,Stories,Villages,Families/Age groups over time,Word Meaning,text_12.txt
T12Q7,Closest meaning to 'retreating'?,Attacking,Sleeping,Moving back/Leaving,Eating,Hiding,Moving back/Leaving,Word Meaning,text_12.txt
T12Q8,Closest meaning to 'mythical'?,Real,Scary,Imaginary/Legendary,Huge,Loud,Imaginary/Legendary,Word Meaning,text_12.txt
T12Q9,Closest meaning to 'startled'?,Fed,Surprised/Scared,Killed,Caught,Watched,Surprised/Scared,Word Meaning,text_12.txt
T12Q10,Closest meaning to 'scattered'?,Gathered,Ran in different directions,Stayed still,Ate,Fell,Ran in different directions,Word Meaning,text_12.txt
T12Q11,Why did the villagers leave food?,To feed the goats,To stop the volcano waking,To get rich,They had too much food,To catch the dragon,To stop the volcano waking,Inference,text_12.txt
T12Q12,Why did Jaren hide?,He was scared,He was cold,He wanted to see the dragon,He was stealing food,He was playing hide and seek,He wanted to see the dragon,Inference,text_12.txt
T12Q13,What does 'painting the rocks in silver light' mean?,Someone painted the rocks,It was snowing,The moonlight shone on them,It was daytime,There was silver there,The moonlight shone on them,Inference,text_12.txt
T12Q14,How did Jaren feel at the end?,Terrified,Angry,Amused/Relieved,Sad,Hungry,Amused/Relieved,Inference,text_12.txt
T12Q15,What is the irony of the story?,Jaren is young,The food was fish,The scary monster was just goats,The mountain was grey,The goats were white,The scary monster was just goats,Inference,text_12.txt
T12Q16,...lay in the shadow.' 'Lay' is a:,Noun,Verb,Adjective,Adverb,Pronoun,Verb,Word Type,text_12.txt
T12Q17,...crisp autumn evening.' 'Crisp' is an:,Noun,Verb,Adjective,Adverb,Preposition,Adjective,Word Type,text_12.txt
T12Q18,...behind a large boulder.' 'Behind' is a:,Noun,Verb,Adjective,Preposition,Conjunction,Preposition,Word Type,text_12.txt
T12Q19,...coat as white as snow.' This phrase is a:,Metaphor,Simile,Verb,Noun,Adverb,Simile,Word Type,text_12.txt
T12Q20,...wondering if anyone.' 'Wondering' is a:,Noun,Verb,Adjective,Adverb,Pronoun,Verb,Word Type,text_12.txt
T13Q1,What day did the door appear?,Monday,Tuesday,Wednesday,Friday,Sunday,Tuesday,Retrieval,text_13.txt
T13Q2,What was the door handle shaped like?,A lion,A hand,A question mark,A key,A star,A question mark,Retrieval,text_13.txt
T13Q3,What did the old man look like?,A soldier,A ghost,Made of parchment,A giant,A wizard,Made of parchment,Retrieval,text_13.txt
T13Q4,What item did Felix find in the drawer?,A sock,A diamond ring,A tin soldier,Homework,A key,A tin soldier,Retrieval,text_13.txt
T13Q5,What happened when Felix touched the diamond ring?,It turned to dust,It felt cold and heavy,It burned him,It disappeared,It glowed,It felt cold and heavy,Retrieval,text_13.txt
T13Q6,Closest meaning to 'cavernous'?,Small,Bright,Huge/Like a cave,Wet,Noisy,Huge/Like a cave,Word Meaning,text_13.txt
T13Q7,Closest meaning to 'croaked'?,Sang,Spoke in a rough voice,Shouted,Laughed,Cried,Spoke in a rough voice,Word Meaning,text_13.txt
T13Q8,Closest meaning to 'stammered'?,Shouted,Whispered,Stuttered/Spoke with difficulty,Ran,Slept,Stuttered/Spoke with difficulty,Word Meaning,text_13.txt
T13Q9,Closest meaning to 'perched'?,Flying,Sitting high up,Falling,Eating,Sleeping,Sitting high up,Word Meaning,text_13.txt
T13Q10,Closest meaning to 'curiosity'?,Fear,Desire to know/learn,Anger,Hunger,Sadness,Desire to know/learn,Word Meaning,text_13.txt
T13Q11,Why is the door handle shaped like a question mark?,It was cheap,It represents mystery/confusion,The owner's name is Mark,It is broken,It is a hook,It represents mystery/confusion,Inference,text_13.txt
T13Q12,Why did Felix expect a shop?,It was between two shops,He wanted to buy sweets,He had money,It had a sign,He was hungry,It was between two shops,Inference,text_13.txt
T13Q13,Why did the librarian warn Felix about the ring?,It was fake,It wasn't Felix's property,It was cursed,The librarian wanted it,It was dirty,It wasn't Felix's property,Inference,text_13.txt
T13Q14,What implies the librarian has supernatural awareness?,He has a desk,He spoke when nowhere to be seen,He is old,He wears glasses,He sleeps,He spoke when nowhere to be seen,Inference,text_13.txt
T13Q15,What is the lesson of the story?,Stealing is good,Don't lose your toys,Only take what belongs to you,Libraries are boring,Magic is real,Only take what belongs to you,Inference,text_13.txt
T13Q16,...peeling blue.' 'Blue' is an:,Noun,Adjective,Verb,Adverb,Pronoun,Adjective,Word Type,text_13.txt
T13Q17,...endless drawers.' 'Endless' is an:,Adjective,Noun,Verb,Adverb,Preposition,Adjective,Word Type,text_13.txt
T13Q18,He pushed the door.' 'Pushed' is a:,Noun,Verb,Adjective,Adverb,Pronoun,Verb,Word Type,text_13.txt
T13Q19,...rush of warmth.' 'Warmth' is a:,Concrete Noun,Abstract Noun,Verb,Adjective,Adverb,Abstract Noun,Word Type,text_13.txt
T13Q20,...hurried back.' 'Back' is an:,Adjective,Noun,Verb,Adverb,Preposition,Adverb,Word Type,text_13.txt
T14Q1,What is the largest land carnivore on Earth?,Lion,Tiger,Polar Bear,Elephant,Grizzly Bear,Polar Bear,Retrieval,text_14.txt
T14Q2,What colour is a polar bear's skin?,White,Pink,Black,Brown,Grey,Black,Retrieval,text_14.txt
T14Q3,What is the layer of fat called?,Fur,Blubber,Skin,Muscle,Bone,Blubber,Retrieval,text_14.txt
T14Q4,What is the polar bear's main food?,Fish,Penguins,Seals,Birds,Whales,Seals,Retrieval,text_14.txt
T14Q5,By what year could two-thirds of polar bears disappear?,2030,2040,2050,2100,3000,2050,Retrieval,text_14.txt
T14Q6,Closest meaning to 'undisputed'?,Argued about,Weak,Certain/Unquestionable,Large,Cold,Certain/Unquestionable,Word Meaning,text_14.txt
T14Q7,Closest meaning to 'adapted'?,Died,Suited/Evolved,Moved,Frozen,Hunted,Suited/Evolved,Word Meaning,text_14.txt
T14Q8,Closest meaning to 'insulation'?,Food,Protection from cold/heat,Water,Swimming,Hunting,Protection from cold/heat,Word Meaning,text_14.txt
T14Q9,Closest meaning to 'majestic'?,Small,Ugly,Grand/Impressive,Fast,White,Grand/Impressive,Word Meaning,text_14.txt
T14Q10,Closest meaning to 'trends' in paragraph 4?,Fashions,Patterns of change,Friends,Icebergs,Animals,Patterns of change,Word Meaning,text_14.txt
T14Q11,Why is the polar bear's fur transparent?,It has no colour,To reflect light/look white,To show the skin,To let water in,It is invisible,To reflect light/look white,Inference,text_14.txt
T14Q12,Why is melting ice a problem for bears?,They can't swim,They lose their hunting ground,They get too hot,The water is toxic,They slip over,They lose their hunting ground,Inference,text_14.txt
T14Q13,Why do bears wait by holes in the ice?,To drink,To sleep,To catch breathing seals,To hide,To cool down,To catch breathing seals,Inference,text_14.txt
T14Q14,What does 'race against time' suggest?,Bears run fast,The situation is urgent,Clocks are melting,Scientists are running,It is a game,The situation is urgent,Inference,text_14.txt
T14Q15,Why are they called 'land' carnivores if they swim?,They eat grass,They live mostly on ice/land,They are fish,It is a mistake,They can't swim,They live mostly on ice/land,Inference,text_14.txt
T14Q16,...massive size.' 'Massive' is an:,Noun,Verb,Adjective,Adverb,Pronoun,Adjective,Word Type,text_14.txt
T14Q17,...sneak up.' 'Sneak' is a:,Noun,Verb,Adjective,Adverb,Preposition,Verb,Word Type,text_14.txt
T14Q18,...four inches thick.' 'Inches' is a:,Common Noun,Proper Noun,Verb,Adjective,Adverb,Common Noun,Word Type,text_14.txt
T14Q19,...patiently by a hole.' 'Patiently' is an:,Adjective,Noun,Verb,Adverb,Pronoun,Adverb,Word Type,text_14.txt
T14Q20,...without it.' 'It' is a:,Noun,Verb,Adjective,Pronoun,Adverb,Pronoun,Word Type,text_14.txt
T15Q1,What was Koji's job?,Farmer,Stonecutter,Soldier,King,Merchant,Stonecutter,Retrieval,text_15.txt
T15Q2,What was his first wish?,To be rich,To be the Wind,To be the Sun,To be a King,To be a Cloud,To be the Sun,Retrieval,text_15.txt
T15Q3,What blocked Koji when he was the Sun?,The Moon,A Cloud,A Mountain,A Bird,The Wind,A Cloud,Retrieval,text_15.txt
T15Q4,Why couldn't Koji (as the Wind) move the Mountain?,He was tired,The Mountain was too heavy/firm,He stopped blowing,The Sun stopped him,The Cloud was in the way,The Mountain was too heavy/firm,Retrieval,text_15.txt
T15Q5,What was chipping away at the Mountain?,A river,A giant,A stonecutter,The wind,An animal,A stonecutter,Retrieval,text_15.txt
T15Q6,Closest meaning to 'scorching'?,Freezing,Burning/Very hot,Watering,Helping,Lighting,Burning/Very hot,Word Meaning,text_15.txt
T15Q7,Closest meaning to 'invincible'?,Invisible,Unbeatable/Too strong to be defeated,Weak,Small,Scared,Unbeatable/Too strong to be defeated,Word Meaning,text_15.txt
T15Q8,Closest meaning to 'uprooted'?,Planted,Pulled out of the ground,Watered,Climbed,Cut,Pulled out of the ground,Word Meaning,text_15.txt
T15Q9,Closest meaning to 'amazement'?,Boredom,Surprise/Wonder,Anger,Sleep,Fear,Surprise/Wonder,Word Meaning,text_15.txt
T15Q10,Closest meaning to 'firm' in paragraph 7?,Soft,Company,Solid/Unmoving,Wet,Loud,Solid/Unmoving,Word Meaning,text_15.txt
T15Q11,Why was Koji unhappy at the start?,He was hungry,His work was hard and he was tired,He was lonely,He was cold,He lost his money,His work was hard and he was tired,Inference,text_15.txt
T15Q12,Why did Koji want to change each time?,He got bored,He met something stronger,He was asked to,He was cold,He liked magic,He met something stronger,Inference,text_15.txt
T15Q13,Who granted the wishes?,A fairy,A genie,A spirit in the mountain,A wizard,Koji himself,A spirit in the mountain,Inference,text_15.txt
T15Q14,What is the moral of the story?,Be satisfied with who you are,Mountains are best,Magic is dangerous,Work is bad,Sleep more,Be satisfied with who you are,Inference,text_15.txt
T15Q15,How did Koji feel at the end?,Angry,Sad,Content/Happy,Confused,Sick,Content/Happy,Inference,text_15.txt
T15Q16,...sun beat down.' 'Beat' is a:,Noun,Verb,Adjective,Adverb,Pronoun,Verb,Word Type,text_15.txt
T15Q17,...voice boomed.' 'Boomed' is a:,Noun,Verb,Adjective,Adverb,Preposition,Verb,Word Type,text_15.txt
T15Q18,...huge black Cloud.' 'Huge' is an:,Adjective,Noun,Verb,Adverb,Pronoun,Adjective,Word Type,text_15.txt
T15Q19,...stood tall.' 'Tall' is an:,Adverb,Noun,Adjective,Verb,Preposition,Adjective,Word Type,text_15.txt
T15Q20,...hammer in his hand.' 'Hand' is a:,Concrete Noun,Abstract Noun,Verb,Adjective,Adverb,Concrete Noun,Word Type,text_15.txt
