Passage Title,Question ID,Sentence Context,Option A,Option B,Option C,Option D,Option E,Correct Answer
The Talent Show,6,I took a deep breath to (6) myself.,calmed,calming,calms,calmly,calm,E
The Talent Show,7,I began to sing my (7).,sing,sang,sung,singer,song,E
The Talent Show,8,My voice was shaky at (8).,one,once,firstly,ones,first,E
The Talent Show,9,Then I gained more (9).,confident,confidently,confide,confidential,confidence,E
The Talent Show,10,The audience clapped (10).,loud,loudness,louder,loudest,loudly,E
The Talent Show,11,I felt very (11) of myself.,pride,proudly,prides,proudest,proud,E
The Talent Show,12,It was a night to (12).,remembers,remembered,remembering,remembrance,remember,E
Baking Bread,1,The baker woke up before (1).,dawned,dawning,dawns,down,dawn,E
Baking Bread,2,He mixed the flour and (2).,watered,watering,waters,watery,water,E
Baking Bread,3,He added yeast to make it (3).,rose,risen,rising,rises,rise,E
Baking Bread,4,He kneaded the (4) with his hands.,doe,do,doughy,does,dough,E
Baking Bread,5,It felt soft and (5).,elasticity,elastics,elasticated,last,elastic,E
Baking Bread,6,He left it in a warm place to (6).,proof,proved,proving,proves,prove,E
Baking Bread,7,Then he put it in the hot (7).,ovens,over,ovenproof,stove,oven,E
Baking Bread,8,The smell was absolutely (8).,deliciously,delicacy,delish,delicateness,delicious,E
Baking Bread,9,Customers queued outside the (9).,shopped,shopping,shops,shopper,shop,E
Baking Bread,10,They bought the bread while it was (10).,warmed,warming,warms,warmer,warm,E
Baking Bread,11,The crust was crunchy and (11).,gold,gilded,golds,golder,golden,E
Baking Bread,12,Fresh bread is the (12) food.,good,well,better,goodness,best,E
Camping in the Woods,1,We pitched our tent in a (1).,clear,cleared,clears,clearly,clearing,E
Camping in the Woods,2,We gathered dry wood for a (2).,fired,firing,fires,fiery,fire,E
Camping in the Woods,3,Dad struck a (3) to light it.,matched,matching,matches,matcher,match,E
Camping in the Woods,4,The flames danced (4).,bright,brightness,brighten,brighter,brightly,E
Camping in the Woods,5,We toasted marshmallows on (5).,stick,sticky,sticking,stuck,sticks,E
Camping in the Woods,6,They tasted sweet and (6).,goo,gluey,glue,gooiness,gooey,E
Camping in the Woods,7,It began to get (7).,darkness,darken,darkly,darked,dark,E
Camping in the Woods,8,We crawled into our sleeping (8).,bag,bagged,bagging,baggy,bags,E
Camping in the Woods,9,The ground was hard and (9).,lump,lumps,lumpiness,lumped,lumpy,E
Camping in the Woods,10,I heard an owl (10).,hooted,hooting,hoots,hooter,hoot,E
Camping in the Woods,11,I fell asleep (11).,eventual,event,events,eventful,eventually,E
Camping in the Woods,12,In the morning, the air was (12).,coldly,coldness,colder,coldest,cold,E
The School Play,1,I had a main part in the (1).,played,playing,plays,player,play,E
The School Play,2,I had to learn many (2).,line,lined,lining,liner,lines,E
The School Play,3,My costume was made of (3).,silky,silken,silks,silkworm,silk,E
The School Play,4,On the night, I felt (4).,sickness,sickly,sickened,sickening,sick,E
The School Play,5,The curtain opened (5).,slow,slowness,slower,slowest,slowly,E
The School Play,6,I walked onto the wooden (6).,staged,staging,stages,stager,stage,E
The School Play,7,I remembered all my words (7).,perfect,perfection,perfected,perfects,perfectly,E
The School Play,8,The audience laughed at the (8).,joke,joked,joking,joker,jokes,E
The School Play,9,At the end, we took a (9).,bough,bowed,bowing,bows,bow,E
The School Play,10,Everyone (10) loudly.,cheer,cheering,cheers,cheerful,cheered,E
The School Play,11,The headmaster gave a (11).,speak,spoke,speaking,speaker,speech,E
The School Play,12,It was a great (12).,succeed,successful,successfully,succession,success,E
Sledding,1,It had snowed heavily (1).,nightly,night,nights,nighttime,overnight,E
Sledding,2,The school was (2) for the day.,close,closing,closes,closer,closed,E
Sledding,3,We grabbed our plastic (3).,sled,sledded,sledding,sledge,sleds,E
Sledding,4,We walked to the highest (4).,hilly,hills,hilled,hilling,hill,E
Sledding,5,The snow was deep and (5).,crispy,crisply,crisps,crisper,crisp,E
Sledding,6,I sat at the front to (6).,steered,steering,steers,steerer,steer,E
Sledding,7,We pushed off and went (7).,faster,fastest,fastness,fasts,fast,E
Sledding,8,The wind stung my (8).,faced,facing,faces,facial,face,E
Sledding,9,We crashed into a snow (9).,drifted,drifting,drifts,drifter,drift,E
Sledding,10,We were covered in white (10).,powdery,powdered,powders,power,powder,E
Sledding,11,My fingers felt (11).,freeze,froze,freezing,freezes,frozen,E
Sledding,12,Mum made us hot (12).,chocolates,chocolaty,choc,cocoa,chocolate,E
The Mystery Novel,1,I love reading mystery (1).,story,storied,storying,store,stories,E
The Mystery Novel,2,The detective was very (2).,cleverly,cleverness,cleverer,cleverest,clever,E
The Mystery Novel,3,He was looking for a lost (3).,diamonds,diamonded,dime,die,diamond,E
The Mystery Novel,4,He found a vital (4).,clueless,clued,clues,cluing,clue,E
The Mystery Novel,5,It was a fingerprint on a (5).,glasses,glassy,glaze,glazer,glass,E
The Mystery Novel,6,He questioned the (6).,suspected,suspecting,suspects,suspicion,suspect,E
The Mystery Novel,7,The man looked very (7).,guilt,guiltily,guiltiness,guilts,guilty,E
The Mystery Novel,8,He tried to tell a (8).,lied,lying,liar,lies,lie,E
The Mystery Novel,9,The detective knew the (9).,true,truly,truthful,truths,truth,E
The Mystery Novel,10,The thief was sent to (10).,prisoner,imprison,prisons,prisoned,prison,E
The Mystery Novel,11,It was a thrilling (11).,reader,reading,reads,readable,read,E
The Mystery Novel,12,I couldn't put the book (12).,up,in,on,off,down,E
Art Class,1,Today in art we painted a (1).,portraits,portrayed,portraying,portray,portrait,E
Art Class,2,I put on an apron to stay (2).,cleaned,cleaning,cleans,cleaner,clean,E
Art Class,3,I squeezed paint onto my (3).,palate,pallet,palettes,plate,palette,E
Art Class,4,I mixed blue and yellow to make (4).,greenery,greened,greener,greenness,green,E
Art Class,5,I used a thin (5) for the eyes.,brushed,brushing,brushes,brusher,brush,E
Art Class,6,I made a mistake and (6) it.,smudge,smudging,smudges,smudgy,smudged,E
Art Class,7,I tried to fix it with (7).,watered,watering,waters,watery,water,E
Art Class,8,The teacher said it looked (8).,artist,art,arts,arty,artistic,E
Art Class,9,I was pleased with my (9).,efforts,effortless,effortlessly,effect,effort,E
Art Class,10,We let the paintings (10).,dried,drying,dries,drier,dry,E
Art Class,11,We hung them on the (11).,walled,walling,walls,wallpaper,wall,E
Art Class,12,Everyone admired my (12).,worked,working,works,worker,work,E
The Soccer Match,1,We played soccer in the (1).,parked,parking,parks,parker,park,E
The Soccer Match,2,We divided into two (2).,team,teamed,teaming,teamer,teams,E
The Soccer Match,3,I played in (3).,defend,defended,defending,defender,defence,E
The Soccer Match,4,The other team was very (4).,skill,skilled,skills,skillet,skillful,E
The Soccer Match,5,They passed the ball (5).,quick,quickness,quicken,quicker,quickly,E
The Soccer Match,6,Our goalie made a great (6).,saved,saving,saves,saver,save,E
The Soccer Match,7,I kicked the ball up the (7).,fields,fielded,fielding,fielder,field,E
The Soccer Match,8,My friend ran (8) to get it.,faster,fastest,fastness,fasts,fast,E
The Soccer Match,9,He shot the ball at the (9).,gaol,golden,goalie,goals,goal,E
The Soccer Match,10,It went straight (10).,on,at,by,to,in,E
The Soccer Match,11,We all (11) loudly.,cheer,cheering,cheers,cheerful,cheered,E
The Soccer Match,12,We won the game one (12).,null,none,no,nill,nil,E
Picnic in the Park,1,Mum packed a large hamper (1).,baskets,basketry,bask,basking,basket,E
Picnic in the Park,2,She made ham and cheese (2).,sandwich,sandwiched,sandwiching,sand,sandwiches,E
Picnic in the Park,3,We drove to a scenic (3).,spotted,spotting,spots,spotter,spot,E
Picnic in the Park,4,We spread a blanket on the (4).,grassy,grassed,grasses,graze,grass,E
Picnic in the Park,5,The sun was warm and (5).,pleasantly,please,pleased,pleasure,pleasant,E
Picnic in the Park,6,I drank some cold (6).,lemon,lemons,lemony,lemoned,lemonade,E
Picnic in the Park,7,A wasp buzzed around the (7).,jammed,jamming,jams,jamb,jam,E
Picnic in the Park,8,We shooed it (8).,way,a weigh,weigh,ways,away,E
Picnic in the Park,9,After lunch, we played (9).,frisbees,frisbeed,free,frizz,frisbee,E
Picnic in the Park,10,Dad fell asleep under a (10).,trees,treed,treeless,tree's,tree,E
Picnic in the Park,11,Ants crawled on the (11).,plates,plated,plating,platter,plate,E
Picnic in the Park,12,It was a lovely (12) out.,days,daily,daytime,daze,day,E
The Stray Cat,1,A small cat appeared in our (1).,gardener,gardening,gardens,garden's,garden,E
The Stray Cat,2,It looked thin and (2).,hunger,hungrily,hungered,hungers,hungry,E
The Stray Cat,3,Its fur was matted and (3).,mess,messed,messing,messes,messy,E
The Stray Cat,4,I gave it a bowl of (4).,milky,milked,milking,milks,milk,E
The Stray Cat,5,It drank it very (5).,quick,quickness,quicken,quicker,quickly,E
The Stray Cat,6,Then it began to (6).,purred,purring,purrs,purrer,purr,E
The Stray Cat,7,I stroked its soft (7).,headed,heading,heads,header,head,E
The Stray Cat,8,It rubbed against my (8).,legs,legged,legging,ledger,leg,E
The Stray Cat,9,We decided to (9) it.,kept,keeping,keeps,keeper,keep,E
The Stray Cat,10,We named him (10).,Tigers,tigress,tigerish,Tig,Tiger,E
The Stray Cat,11,He is now part of the (11).,families,familial,familiar,famine,family,E
The Stray Cat,12,He loves to sleep on my (12).,beds,bedded,bedding,bedstead,bed,E
Moon Landing,1,The rocket stood on the launch (1).,padded,padding,pads,paddle,pad,E
Moon Landing,2,The astronauts climbed (2).,board,bored,abroad,broad,aboard,E
Moon Landing,3,They strapped themselves into their (3).,seat,seated,seating,seater,seats,E
Moon Landing,4,The engines roared to (4).,live,living,lived,lively,life,E
Moon Landing,5,The rocket blasted into (5).,spacious,spacing,spaced,spacer,space,E
Moon Landing,6,They floated in zero (6).,grave,gravel,gravitate,gravitation,gravity,E
Moon Landing,7,The Earth looked like a blue (7).,balls,balled,balling,baller,ball,E
Moon Landing,8,They landed on the dusty (8).,moons,moonlight,mooned,mooning,moon,E
Moon Landing,9,They put on their space (9).,suit,suited,suiting,suitor,suits,E
Moon Landing,10,They walked with bouncy (10).,step,stepped,stepping,stepper,steps,E
Moon Landing,11,They planted a (11).,flagged,flagging,flags,flagon,flag,E
Moon Landing,12,It was a giant leap for (12).,man,men,human,kind,mankind,E
The Storm,1,The wind howled (1) through the ancient oaks.,louder,loudly,loudness,louden,loud,B
The Storm,2,It was undoubtedly the (2) storm the village had seen in a decade.,worst,worse,baddest,bad,worsen,A
The Storm,3,Sarah (3) towards the window, her heart pounding.,runned,runs,running,ran,run,D
The Storm,4,The trees were (4) dangerously in the gale.,bend,bending,bent,bended,bends,B
The Storm,5,She prayed the old roof would (5).,held,hold,holding,holds,holder,B
The Storm,6,It was simply (6) frightening to watch.,two,tow,too,to,toe,C
The Storm,7,Retreating (7) the safety of her room, she lay upon her bed.,in,inner,inwardly,into,inside,D
The Storm,8,Retreating into the safety of her room, she (8) upon her bed.,lied,lain,lay,laid,layer,C
The Storm,9,She tried to (9) from the noise.,hidden,hiding,hiden,hid,hide,E
The Storm,10,Suddenly, a clap of thunder (10) overhead.,crash,crashing,crashed,crashes,crusher,C
The Storm,11,She (11) fervently that the storm would pass.,wishes,wishing,wished,wish,wishful,C
The Storm,12,Eventually, the torrential rain (12).,ceased,cease,ceasing,ceases,cessation,A
The Secret Garden,1,The gate was (1) with rust and refused to budge.,covers,covering,covered,cover,coverage,C
The Secret Garden,2,Tom (2) over the wall to get a better look.,peer,peering,peers,peered,pear,D
The Secret Garden,3,He saw a (3) path disappearing into the bushes.,winded,winds,wound,wind,winding,E
The Secret Garden,4,It looked as (4) no one had walked there for a century.,through,like,so,if,for,D
The Secret Garden,5,He felt a sudden (5) to explore.,urge,urging,urged,urgent,urgency,A
The Secret Garden,6,(6) "his fear, he dropped down onto the grass.",Although,However,Despite,Unless,Even,C
The Secret Garden,7,The air smelt (7) than in the city.,freshly,freshen,fresh,fresher,freshest,D
The Secret Garden,8,He took a deep (8) and began to walk.,breathe,breath,breathing,breathless,breadth,B
The Secret Garden,9,He did not know what he might (9).,found,finding,finds,find,founder,D
The Secret Garden,10,It was the (10) adventure he had ever known.,greater,greatly,greatest,greatness,great,C
The Secret Garden,11,It was the greatest adventure he had ever (11).,know,knew,known,knowing,knows,C
The Secret Garden,12,He hoped he wouldn't get (12).,catch,catching,caught,catches,catcher,C
The Broken Vase,1,"Who (1) this?" asked Mum, pointing at the shattered porcelain.,broken,broke,break,breaking,breaks,B
The Broken Vase,2,I stayed (2), hoping she wouldn't notice my guilt.,silently,silent,silence,silencing,silencer,B
The Broken Vase,3,It had been an (3), of course.,accident,accidental,accidentally,accidents,accidentals,A
The Broken Vase,4,I was just (4) ball in the hall.,throw,threw,thrown,throwing,throws,D
The Broken Vase,5,I know I (5) have been doing that.,should,shouldn't,wouldn't,couldn't,mustn't,B
The Broken Vase,6,The ball had (6) the vase violently.,hitter,hits,hitting,hat,hit,E
The Broken Vase,7,Now, the pieces (7) scattered across the rug.,is,was,were,are,be,C
The Broken Vase,8,I felt (8) about it.,terribly,terror,terrible,terrifying,terrifies,C
The Broken Vase,9,"I'm waiting for an (9)," Mum said sternly.,explained,explaining,explain,explanation,explanatory,D
The Broken Vase,10,I took a deep breath and (10).,confessed,confess,confusing,confession,confesses,A
The Broken Vase,11,"It was me," I whispered (11).,quiet,quite,quietly,quieten,quietest,C
The Broken Vase,12,She looked disappointed but appreciated my (12).,honest,honestly,honesty,honour,honourable,C
The School Trip,1,The bus journey was long and (1).,tiring,tired,tire,tires,tireless,A
The School Trip,2,We were all (2) to reach the museum.,eager,eagerly,eagerness,eagle,eagers,A
The School Trip,3,Mr. Jones told us to behave (3).,good,well,goodly,goodness,best,B
The School Trip,4,When we arrived, we were (4) into small groups.,dividing,division,divided,divide,divides,C
The School Trip,5,My group went to see the dinosaurs (5).,firstly,one,first,once,ones,C
The School Trip,6,The skeleton was (6) than I imagined.,big,bigger,biggest,largely,large,B
The School Trip,7,It must have (7) scary to meet a real T-Rex.,be,being,is,been,was,D
The School Trip,8,We spent hours (8) at the exhibits.,look,looked,looking,looks,looker,C
The School Trip,9,Afterwards, we ate lunch (9) the cafeteria.,on,in,at,to,by,B
The School Trip,10,I had (10) my sandwiches, so I bought some chips.,forget,forgot,forgotten,forgetting,forgets,C
The School Trip,11,It was a (11) day.,memory,memorable,memorize,memorial,memorably,B
The School Trip,12,I wish we could (12) there again soon.,go,went,gone,going,goes,A
Ancient Rome,1,The Romans were famous (1) their roads.,with,for,by,of,in,B
Ancient Rome,2,They built them straight (2) soldiers could travel quickly.,so,because,but,although,unless,A
Ancient Rome,3,They were also (3) engineers.,skill,skilled,skillful,skills,skillet,B
Ancient Rome,4,They built aqueducts to carry water (4) the cities.,to,too,two,at,in,A
Ancient Rome,5,Life in Rome was very (5) from today.,differ,difference,different,differently,differs,C
Ancient Rome,6,Poor people lived in (6) wooden flats.,crowd,crowded,crowding,crowds,crowder,B
Ancient Rome,7,Rich people had large houses with (7) floors.,mosaic,mosaics,mosaic's,mosaicked,mosaic-like,A
Ancient Rome,8,They often (8) feasts with exotic food.,have,had,has,having,haven,B
Ancient Rome,9,They liked to watch gladiators (9) in the Colosseum.,fight,fought,fighting,fights,fighter,A
Ancient Rome,10,It was a violent (10) popular sport.,and,but,or,yet,so,B
Ancient Rome,11,The Roman Empire (11) for hundreds of years.,last,lasted,lasting,lasts,lastly,B
Ancient Rome,12,Its influence can still be (12) today.,see,saw,seen,seeing,sees,C
The Dentist,1,I have always been (1) of the dentist.,fear,fearful,afraid,frighten,fearsome,C
The Dentist,2,The sound of the drill makes me (2).,shivered,shivering,shivers,shivery,shiver,E
The Dentist,3,However, my tooth had been (3) for days.,ache,ached,aching,aches,achy,C
The Dentist,4,I knew I (4) go.,must,had to,should,ought,might,B
The Dentist,5,The waiting room was (5) quiet.,eerie,eerily,eeriness,eery,eerier,B
The Dentist,6,I tried to read a magazine to (6) myself.,distract,distracted,distracting,distraction,distracts,A
The Dentist,7,Finally, the dentist called my (7).,name,named,naming,names,namely,A
The Dentist,8,He was actually very (8).,gently,gentler,gentle,gentlest,gentleness,C
The Dentist,9,He looked at my teeth (9).,care,careful,carefully,cared,caring,C
The Dentist,10,"You have a small cavity," he (10).,say,said,says,saying,sayings,B
The Dentist,11,He filled it quickly and it didn't (11) at all.,hurt,hurts,hurting,hurtful,hurter,A
The Dentist,12,I felt (12) when it was over.,relieve,relieved,relief,relieving,relieves,B
The Lost Puppy,1,It was a cold, (1) night.,rain,rainy,raining,rained,rains,B
The Lost Puppy,2,We heard a soft (2) coming from the porch.,whine,whined,whining,whines,whiner,A
The Lost Puppy,3,Dad opened the door (3).,caution,cautious,cautiously,cautioning,cautioned,C
The Lost Puppy,4,He was (4) with cold.,shake,shook,shaken,shaking,shakes,D
The Lost Puppy,5,We brought him (5) immediately.,in,inside,into,inner,inwardly,B
The Lost Puppy,6,Mum got a warm towel to (6) him.,dry,dried,drying,dries,drier,A
The Lost Puppy,7,We gave him some warm milk to (7).,drink,drank,drunk,drinking,drinks,A
The Lost Puppy,8,He lapped it up (8).,greed,greedy,greedily,greediness,greeds,C
The Lost Puppy,9,We decided to (9) him "Lucky".,call,called,calling,calls,caller,A
The Lost Puppy,10,He wagged his (10) happily.,tail,tale,tails,tales,tailed,A
The Lost Puppy,11,He had finally (11) a home.,find,found,finding,finds,founder,B
The Lost Puppy,12,We promised to take (12) of him forever.,care,cared,careful,caring,cares,A
Making a Cake,1,Cooking is my favourite (1).,hobbies,hobbyist,hobbit,hobby,hobby's,D
Making a Cake,2,Yesterday, I decided to (2) a chocolate cake.,bake,baked,baking,bakes,baker,A
Making a Cake,3,I gathered all the (3) on the table.,ingredients,ingredient,ingredients',ingredience,ingedients,A
Making a Cake,4,First, I had to (4) the butter and sugar.,mix,mixed,mixing,mixes,mixer,A
Making a Cake,5,It was hard work and my arm (5).,ache,ached,aching,aches,achy,B
Making a Cake,6,Then I added the eggs, one by (6).,won,one,once,ones,oneness,B
Making a Cake,7,I sifted the flour so there were no (7).,lump,lumps,lumpy,lumpiness,lumped,B
Making a Cake,8,I put the mixture in the oven to (8).,cook,cooked,cooking,cooks,cooker,A
Making a Cake,9,The smell was (9).,delicious,deliciously,delicacy,delish,delicateness,A
Making a Cake,10,When it was ready, I let it (10) down.,cool,cooled,cooling,cools,cooler,A
Making a Cake,11,Finally, I spread chocolate icing (11) the top.,on,in,over,above,at,A
Making a Cake,12,It tasted (12)!,perfectly,perfection,perfect,perfected,perfects,C
The Magic Show,1,The magician walked onto the stage (1).,confident,confidently,confidence,confide,confidential,B
The Magic Show,2,He wore a tall black hat and a (2) cape.,mystery,mysterious,mysteriously,mysteries,mystify,B
The Magic Show,3,The audience waited with bated (3).,breathe,breath,breathing,breathless,breadths,B
The Magic Show,4,He pulled a white rabbit (4) of his hat.,out,outer,outing,outs,outward,A
The Magic Show,5,Everyone (5) loudly.,clap,clapped,clapping,claps,clapper,B
The Magic Show,6,Then, he made his assistant (6).,disappear,disappeared,disappearing,disappears,disappearance,A
The Magic Show,7,I tried to work (7) how he did it.,out,in,up,on,off,A
The Magic Show,8,It must contain a hidden (8).,door,doors,doorway,doored,indoors,A
The Magic Show,9,My little brother was (9) baffled.,complete,completely,completion,completes,completed,B
The Magic Show,10,He asked, "Is it real (10)?".,magic,magical,magically,magician,magics,A
The Magic Show,11,I told him it was just a (11).,trick,tricked,tricky,tricking,tricks,A
The Magic Show,12,But secretly, I wasn't so (12).,surely,surety,shore,assure,sure,E
The Library,1,The library is a peaceful (1).,placed,placing,places,placer,place,E
The Library,2,I love the smell of old (2).,book,books,booking,booked,bookings,B
The Library,3,You must remain (3) while you are there.,silence,silently,silencer,silenced,silent,E
The Library,4,The librarian sits at a large (4).,desk,desks,desktop,desking,disk,A
The Library,5,She helps people find what they are (5) for.,look,looked,looking,looks,looker,C
The Library,6,Last week, I borrowed a book (6) space.,about,around,above,across,after,A
The Library,7,It had many colourful (7).,picture,pictures,pictured,picturing,picturesque,B
The Library,8,I learned that Jupiter is the (8) planet.,large,larger,largest,largely,largeness,C
The Library,9,I had to return the book (9) Tuesday.,on,in,at,to,by,A
The Library,10,If you are late, you must pay a (10).,fine,fined,fining,fines,finely,A
The Library,11,I am always (11) to bring my books back on time.,care,careful,carefully,cared,caring,B
The Library,12,I am always careful to bring my books back on time.,care,careful,carefully,cared,caring,B
Winter Morning,1,The world was covered in a blanket of (1).,snow,snowed,snowing,snows,snowy,A
Winter Morning,2,Everything looked bright and (2).,whiten,whiteness,whitely,whites,white,E
Winter Morning,3,The pond had (3) over during the night.,freeze,froze,frozen,freezing,freezes,C
Winter Morning,4,We put on our boots and (4) coats.,thick,thickness,thickly,thicken,thicker,A
Winter Morning,5,The air was crisp and (5).,chill,chilly,chilled,chilling,chills,B
Winter Morning,6,We could see our (6) in the air.,breath,breathe,breathing,breathless,breaths,A
Winter Morning,7,We decided to build a (7) man.,snow,ice,cold,winter,frost,A
Winter Morning,8,We used coal for his eyes and a carrot (8) his nose.,for,with,by,on,to,A
Winter Morning,9,It was hard work but good (9).,fun,funny,funnier,funnest,funnily,A
Winter Morning,10,Afterward, my fingers felt (10).,numb,numbed,numbness,numbing,numbs,A
Winter Morning,11,We went inside to get (11).,warm,warmed,warmth,warming,warmer,A
Winter Morning,12,Hot chocolate never tasted so (12).,good,well,better,best,goodness,A
Learning to Swim,1,I used to be (1) of water.,scare,scared,scary,scaring,scares,B
Learning to Swim,2,My mum took me to the (2) pool every Saturday.,swim,swam,swum,swimming,swimmer,D
Learning to Swim,3,At first, I wouldn't let (3) of the side.,go,going,gone,went,goes,A
Learning to Swim,4,The instructor was very (4).,patience,patient,patiently,patients,impatient,B
Learning to Swim,5,She told me to kick my legs (5).,hard,hardly,harder,hardest,harden,A
Learning to Swim,6,Slowly, I began to gain (6).,confident,confidence,confidently,confide,confidential,B
Learning to Swim,7,I learned how to float on my (7).,back,backed,backing,backs,backward,A
Learning to Swim,8,One day, I managed to swim a whole (8).,length,long,lengthen,longing,longer,A
Learning to Swim,9,Mum was so (9) of me.,pride,proud,proudly,prides,proudest,B
Learning to Swim,10,Now, I love swimming (10) than anything.,more,most,many,much,mostly,A
Learning to Swim,11,It is great (11).,exercise,exercised,exercising,exercises,exerciser,A
Learning to Swim,12,I hope to enter a (12) soon.,compete,competition,competitive,competitor,competing,B
A Strange Noise,1,I woke up suddenly in the (1) of the night.,middle,mid,middling,midst,midday,A
A Strange Noise,2,There was a strange (2) downstairs.,noisy,noisily,noises,noiseless,noise,E
A Strange Noise,3,It sounded (3) scratching.,as,like,so,for,with,B
A Strange Noise,4,My heart began to (4) fast.,beat,beaten,beating,beats,beater,A
A Strange Noise,5,I wondered (5) it could be.,who,what,which,where,whose,B
A Strange Noise,6,Was it a burglar or a (6)?,ghost,ghostly,ghosting,ghosts,ghosted,A
A Strange Noise,7,I grabbed my torch and (7) out of bed.,creep,crept,creeping,creeps,creeper,B
A Strange Noise,8,I walked (8) down the stairs.,slow,slowly,slowness,slower,slowest,B
A Strange Noise,9,The noise was getting (9).,loud,louder,loudest,loudly,loudness,B
A Strange Noise,10,I shone the light into the (10).,kitchen,kitchens,kitchen's,kitchenette,kitchener,A
A Strange Noise,11,There, I saw my cat playing with a (11).,mouse,mice,mouses,mousing,mouser,A
A Strange Noise,12,I let out a sigh of (12).,relieve,relieved,relief,relieving,relieves,C
The New Bicycle,1,For my birthday, I got a shiny red (1).,bike,bikes,biking,biker,biked,A
The New Bicycle,2,It was the best present I had ever (2).,receive,received,receiving,receives,receiver,B
The New Bicycle,3,I couldn't wait to (3) it.,ride,rode,ridden,riding,rides,A
The New Bicycle,4,Dad took me to the park to (4).,practice,practise,practised,practising,practises,B
The New Bicycle,5,I put on my helmet for (5).,safe,safely,safety,safest,safer,C
The New Bicycle,6,At first, I was (6) and wobbled a lot.,steady,unsteady,steadily,steadied,steadiness,B
The New Bicycle,7,Dad held the seat to (7) me.,balance,balanced,balancing,balances,balancer,A
The New Bicycle,8,"Keep pedalling!" he (8).,shout,shouted,shouting,shouts,shouter,B
The New Bicycle,9,Suddenly, I realized he had let (9).,go,going,gone,went,goes,A
The New Bicycle,10,I was riding all by (10)!,me,my,myself,mine,I,C
The New Bicycle,11,The wind rushed (11) my face.,pass,past,passed,passing,pastes,B
The New Bicycle,12,I felt completely (12).,free,freely,freedom,freer,freest,A
The Football Match,1,The stadium was packed with (1) fans.,excite,excited,exciting,excitement,excites,B
The Football Match,2,The atmosphere was (2).,electric,electrical,electricity,electrifying,electrically,A
The Football Match,3,Our team ran onto the (3) to loud cheers.,pitch,pitched,pitching,pitches,pitcher,A
The Football Match,4,The referee blew his (4) to start the game.,whistle,whistled,whistling,whistles,whistler,A
The Football Match,5,Both teams played (5).,well,good,better,best,goodly,A
The Football Match,6,The ball moved up and down the (6) rapidly.,field,fields,fielded,fielding,fielder,A
The Football Match,7,In the final minute, our striker got the (7).,ball,balls,balled,balling,baller,A
The Football Match,8,He kicked the ball with all his (8).,might,mighty,mightily,may,mightiest,A
The Football Match,9,It flew past the goalie into the (9).,net,nets,netting,netted,netter,A
The Football Match,10,The crowd went (10)!,wild,wildly,wilderness,wilder,wildest,A
The Football Match,11,We had (11) the cup.,win,won,winning,winner,wins,B
The Football Match,12,It was a (12) victory.,glory,glorious,gloriously,glories,glorified,B
Space Travel,1,Astronauts have a very (1) job.,interest,interested,interesting,interests,interestingly,C
Space Travel,2,They travel in rockets far into (2).,space,spacing,spaced,spaces,spacer,A
Space Travel,3,There is no gravity, so everything (3).,float,floats,floating,floated,floater,B
Space Travel,4,They have to eat special (4) food.,dry,dried,drying,dries,drier,B
Space Travel,5,Sleeping can be difficult because you have to be (5) down.,strap,strapped,strapping,straps,strapless,B
Space Travel,6,When they look out of the window, they see (6).,star,stars,starring,starred,starry,B
Space Travel,7,The Earth looks like a blue (7) marble.,beauty,beautiful,beautifully,beautify,beauties,B
Space Travel,8,They do experiments to (8) new things.,learn,learned,learning,learns,learner,A
Space Travel,9,It is dangerous but (9) work.,reward,rewarded,rewarding,rewards,rewarder,C
Space Travel,10,You must be very (10) to be an astronaut.,intelligence,intelligent,intelligently,intellect,intellectuals,B
Space Travel,11,I dream of (11) to Mars one day.,go,going,gone,went,goes,B
Space Travel,12,It would be the (12) of a lifetime.,trip,trialed,tripping,trips,tripper,A
A Rainy Sunday,1,It rained (1) all day on Sunday.,heavy,heavily,heaviness,heavier,heaviest,B
A Rainy Sunday,2,We couldn't go out to (2).,play,played,playing,plays,player,A
A Rainy Sunday,3,Mum suggested we play a board (3).,game,games,gaming,gamer,gamed,A
A Rainy Sunday,4,My brother wanted to play chess, but I find it (4).,bore,bored,boring,boredom,bores,C
A Rainy Sunday,5,We decided on Monopoly instead. It went on for (5).,hour,hours,hourly,hourglass,hour's,B
A Rainy Sunday,6,I bought lots of properties and built (6).,house,houses,housing,housed,household,B
A Rainy Sunday,7,My brother went to (7) three times!,jail,jailed,jailer,jailing,jails,A
A Rainy Sunday,8,Dad made us some popcorn to (8).,eat,ate,eaten,eating,eats,A
A Rainy Sunday,9,Eventually, I ran out of (9).,money,monies,monetary,monetized,moneyless,A
A Rainy Sunday,10,My brother was the (10).,win,won,winner,winning,wins,C
A Rainy Sunday,11,Even though I lost, it was still (11).,enjoy,enjoyed,enjoyable,enjoyment,enjoys,C
A Rainy Sunday,12,It was better than being (12).,bore,bored,boring,boredom,bores,B
The Treehouse,1,My dad promised to build me a (1) house.,tree,trees,treed,treeless,tree's,A
The Treehouse,2,We found a strong oak tree in the (2).,garden,gardener,gardening,gardens,garden's,A
The Treehouse,3,We gathered wood, nails and a (3).,hammer,hammered,hammering,hammers,hammock,A
The Treehouse,4,Dad climbed up the ladder (4).,careful,carefully,care,caring,cared,B
The Treehouse,5,He nailed the planks to the (5).,branch,branches,branched,branching,branchlet,B
